Date	Segment	Country	Product	Discount Band	Units Sold	Manufacturing Price	Sale Price	Gross Sales	Discount Price	Net Sales	COGS	Profit	Discount Number	Discount %
43367	Small Business	United States of America	Amarilla	High	410	3	12	4920	590.4	4329.6	1230	3099.6	0.12	0.12
43368	Small Business	United States of America	Paseo	High	1393	3	12	16716	2005.92	14710.08	4179	10531.08	0.12	0.12
43369	Government	Mexico	Velo	High	3593	5	7	25151	2515.1	22635.9	17965	4670.9	0.1	0.1
43370	Channel Partners	Canada	Velo	High	3695	120	125	461875	46187.5	415687.5	443400	-27712.5	0.1	0.1
43371	Small Business	France	Velo	High	3746	5	7	26222	2622.2	23599.8	18730	4869.8	0.1	0.1
43372	Enterprise	Germany	VTT	High	3797	5	7	26579	2657.9	23921.1	18985	4936.1	0.1	0.1
43373	Government	Mexico	VTT	High	3848	260	350	1346800	134680	1212120	1000480	211640	0.1	0.1
43374	Small Business	United States of America	VTT	High	3899	120	125	487375	48737.5	438637.5	467880	-29242.5	0.1	0.1
43375	Channel Partners	Canada	VTT	High	3950	120	125	493750	49375	444375	474000	-29625	0.1	0.1
43376	Small Business	France	VTT	High	4001	250	300	1200300	120030	1080270	1000250	80020	0.1	0.1
43377	Enterprise	Germany	VTT	High	4052	250	300	1215600	121560	1094040	1013000	81040	0.1	0.1
43378	Small Business	United States of America	VTT	High	4154	120	125	519250	51925	467325	498480	-31155	0.1	0.1
43379	Small Business	United States of America	Amarilla	High	4256	10	15	63840	7022.4	56817.6	42560	14257.6	0.11	0.11
43380	Government	Mexico	Carretera	High	4358	3	12	52296	5752.56	46543.44	13074	33469.44	0.11	0.11
43381	Small Business	United States of America	Carretera	High	4409	250	300	1322700	145497	1177203	1102250	74953	0.11	0.11
43382	Channel Partners	Canada	Carretera	High	4460	5	7	31220	3434.2	27785.8	22300	5485.8	0.11	0.11
43383	Small Business	France	Carretera	High	4511	260	350	1578850	173673.5	1405176.5	1172860	232316.5	0.11	0.11
43384	Enterprise	Germany	Montana	High	4562	3	12	54744	6021.84	48722.16	13686	35036.16	0.11	0.11
43385	Small Business	United States of America	Montana	High	4664	3	12	55968	6156.48	49811.52	13992	35819.52	0.11	0.11
43386	Midmarket	France	Paseo	High	4766	10	15	71490	7863.9	63626.1	47660	15966.1	0.11	0.11
43387	Small Business	Germany	Paseo	High	4817	250	300	1445100	158961	1286139	1204250	81889	0.11	0.11
43388	Government	Mexico	Paseo	High	4868	250	300	1460400	175248	1285152	1217000	68152	0.12	0.12
43389	Small Business	United States of America	Paseo	High	4919	3	12	59028	7083.36	51944.64	14757	37187.64	0.12	0.12
43390	Channel Partners	Canada	Paseo	High	4970	120	125	621250	74550	546700	596400	-49700	0.12	0.12
43391	Midmarket	France	Carretera	High	4673	3	12	56076	6729.12	49346.88	14019	35327.88	0.12	0.12
43392	Enterprise	Germany	Carretera	High	4645	3	12	55740	6688.8	49051.2	13935	35116.2	0.12	0.12
43393	Small Business	United States of America	Montana	High	4589	3	12	55068	6608.16	48459.84	13767	34692.84	0.12	0.12
43394	Enterprise	Germany	VTT	High	4085	120	125	510625	61275	449350	490200	-40850	0.12	0.12
43395	Government	Mexico	Montana	High	3637	250	300	1091100	130932	960168	909250	50918	0.12	0.12
43396	Small Business	United States of America	Montana	High	3609	5	7	25263	3031.56	22231.44	18045	4186.44	0.12	0.12
43397	Channel Partners	Canada	Montana	High	3581	250	300	1074300	128916	945384	895250	50134	0.12	0.12
43398	Midmarket	France	Montana	High	3553	120	125	444125	53295	390830	426360	-35530	0.12	0.12
43399	Enterprise	Germany	Paseo	High	3525	5	7	24675	2961	21714	17625	4089	0.12	0.12
43400	Government	Mexico	Paseo	High	1536	120	125	192000	23040	168960	184320	-15360	0.12	0.12
43401	Small Business	United States of America	Paseo	High	3469	250	300	1040700	124884	915816	867250	48566	0.12	0.12
43402	Channel Partners	Canada	Paseo	High	2345	250	300	703500	84420	619080	586250	32830	0.12	0.12
43403	Midmarket	France	Paseo	High	3413	260	350	1194550	143346	1051204	887380	163824	0.12	0.12
43404	Enterprise	Germany	Paseo	High	3385	120	125	423125	50775	372350	406200	-33850	0.12	0.12
43405	Government	Mexico	Paseo	High	3357	10	15	50355	6042.6	44312.4	33570	10742.4	0.12	0.12
43406	Government	United States of America	Paseo	High	3329	10	20	66580	7989.6	58590.4	33290	25300.4	0.12	0.12
43407	Channel Partners	Canada	Paseo	High	3301	10	20	66020	7922.4	58097.6	33010	25087.6	0.12	0.12
43408	Midmarket	United States of America	Paseo	High	3273	10	15	49095	5891.4	43203.6	32730	10473.6	0.12	0.12
43409	Enterprise	Germany	Paseo	High	3245	10	15	48675	5841	42834	32450	10384	0.12	0.12
43410	Government	Mexico	Paseo	High	3217	260	350	1125950	135114	990836	836420	154416	0.12	0.12
43411	Small Business	United States of America	Paseo	High	3189	120	125	398625	47835	350790	382680	-31890	0.12	0.12
43412	Channel Partners	Canada	Velo	High	3161	3	12	37932	4551.84	33380.16	9483	23897.16	0.12	0.12
43413	Midmarket	France	Velo	High	3133	10	20	62660	7519.2	55140.8	31330	23810.8	0.12	0.12
43414	Enterprise	Germany	Velo	High	3105	260	350	1086750	130410	956340	807300	149040	0.12	0.12
43415	Government	Mexico	VTT	High	3077	3	12	36924	4430.88	32493.12	9231	23262.12	0.12	0.12
43416	Small Business	United States of America	VTT	High	3049	260	350	1067150	128058	939092	792740	146352	0.12	0.12
43417	Channel Partners	Canada	VTT	High	3021	260	350	1057350	126882	930468	785460	145008	0.12	0.12
43418	Midmarket	France	VTT	High	2993	10	15	44895	5387.4	39507.6	29930	9577.6	0.12	0.12
43419	Enterprise	Germany	Amarilla	High	2965	260	350	1037750	124530	913220	770900	142320	0.12	0.12
43420	Government	Mexico	Amarilla	High	2937	120	125	367125	44055	323070	352440	-29370	0.12	0.12
43421	Small Business	United States of America	Amarilla	High	2909	260	350	1018150	122178	895972	756340	139632	0.12	0.12
43422	Channel Partners	Canada	Amarilla	High	2881	10	15	43215	5185.8	38029.2	28810	9219.2	0.12	0.12
43423	Midmarket	France	Amarilla	High	2853	260	350	998550	119826	878724	741780	136944	0.12	0.12
43424	Enterprise	Germany	Montana	High	2825	5	7	19775	2373	17402	14125	3277	0.12	0.12
43425	Government	Mexico	Paseo	High	2797	5	7	19579	2349.48	17229.52	13985	3244.52	0.12	0.12
43426	Small Business	United States of America	Paseo	High	2769	5	7	19383	2325.96	17057.04	13845	3212.04	0.12	0.12
43427	Channel Partners	Canada	Paseo	High	2741	5	7	19187	2302.44	16884.56	13705	3179.56	0.12	0.12
43428	Midmarket	France	Paseo	High	2713	3	12	32556	4232.28	28323.72	8139	20184.72	0.13	0.13
43429	Enterprise	Germany	Velo	High	2685	3	12	32220	4188.6	28031.4	8055	19976.4	0.13	0.13
43430	Government	Mexico	VTT	High	2657	5	7	18599	2417.87	16181.13	13285	2896.13	0.13	0.13
43431	Small Business	United States of America	Amarilla	High	2629	5	7	18403	2392.39	16010.61	13145	2865.61	0.13	0.13
43432	Channel Partners	Canada	Amarilla	High	2601	3	12	31212	4057.56	27154.44	7803	19351.44	0.13	0.13
43433	Midmarket	France	Amarilla	High	2573	5	7	18011	2341.43	15669.57	12865	2804.57	0.13	0.13
43434	Enterprise	United States of America	Carretera	High	2545	3	12	30540	3970.2	26569.8	7635	18934.8	0.13	0.13
43435	Government	Mexico	Carretera	High	2517	3	12	30204	3926.52	26277.48	7551	18726.48	0.13	0.13
43436	Small Business	United States of America	Carretera	High	2489	10	20	49780	6471.4	43308.6	24890	18418.6	0.13	0.13
43437	Channel Partners	Canada	Carretera	High	2461	250	300	738300	95979	642321	615250	27071	0.13	0.13
43438	Midmarket	France	Carretera	High	2433	5	7	17031	2214.03	14816.97	12165	2651.97	0.13	0.13
43439	Enterprise	Germany	Carretera	High	2405	10	15	36075	4689.75	31385.25	24050	7335.25	0.13	0.13
43440	Government	Mexico	Carretera	High	2377	5	7	16639	2163.07	14475.93	11885	2590.93	0.13	0.13
43441	Small Business	United States of America	Carretera	High	2349	5	7	16443	2137.59	14305.41	11745	2560.41	0.13	0.13
43442	Channel Partners	Canada	Montana	High	2321	260	350	812350	105605.5	706744.5	603460	103284.5	0.13	0.13
43443	Midmarket	France	Montana	High	2293	120	125	286625	37261.25	249363.75	275160	-25796.25	0.13	0.13
43444	Enterprise	Germany	Montana	High	2265	260	350	792750	103057.5	689692.5	588900	100792.5	0.13	0.13
43445	Government	Mexico	Montana	High	2237	3	12	26844	3489.72	23354.28	6711	16643.28	0.13	0.13
43446	Small Business	United States of America	Montana	High	2209	250	300	662700	86151	576549	552250	24299	0.13	0.13
43447	Channel Partners	Canada	Paseo	High	2181	10	20	43620	5670.6	37949.4	21810	16139.4	0.13	0.13
43448	Midmarket	France	Paseo	High	2153	120	125	269125	34986.25	234138.75	258360	-24221.25	0.13	0.13
43449	Enterprise	Germany	Paseo	High	2125	120	125	265625	34531.25	231093.75	255000	-23906.25	0.13	0.13
43450	Government	Mexico	Paseo	High	2097	250	300	629100	88074	541026	524250	16776	0.14	0.14
43451	Small Business	United States of America	Paseo	High	2069	5	7	14483	2027.62	12455.38	10345	2110.38	0.14	0.14
43452	Government	Canada	Paseo	High	2041	250	300	612300	85722	526578	510250	16328	0.14	0.14
43453	Midmarket	France	Paseo	High	2013	260	350	704550	98637	605913	523380	82533	0.14	0.14
43454	Enterprise	Germany	Paseo	High	1985	10	15	29775	4168.5	25606.5	19850	5756.5	0.14	0.14
43455	Government	Mexico	Paseo	High	1957	260	350	684950	95893	589057	508820	80237	0.14	0.14
43456	Government	France	Paseo	Low	3945	5	7	27615	276.15	27338.85	19725	7613.85	0.01	0.01
43457	Midmarket	France	Paseo	Low	2296	10	15	34440	344.4	34095.6	22960	11135.6	0.01	0.01
43458	Government	France	Paseo	Low	1030	5	7	7210	72.1	7137.9	5150	1987.9	0.01	0.01
43459	Government	France	Velo	Low	639	5	7	4473	44.73	4428.27	3195	1233.27	0.01	0.01
43460	Government	Canada	VTT	Low	1326	5	7	9282	92.82	9189.18	6630	2559.18	0.01	0.01
43461	Channel Partners	United States of America	Carretera	Low	1858	3	12	22296	222.96	22073.04	5574	16499.04	0.01	0.01
43462	Government	Mexico	Carretera	Low	1210	260	350	423500	4235	419265	314600	104665	0.01	0.01
43463	Government	United States of America	Carretera	Low	2529	5	7	17703	177.03	17525.97	12645	4880.97	0.01	0.01
43464	Channel Partners	Canada	Carretera	Low	1445	3	12	17340	173.4	17166.6	4335	12831.6	0.01	0.01
43465	Enterprise	United States of America	Carretera	Low	330	120	125	41250	412.5	40837.5	39600	1237.5	0.01	0.01
43466	Channel Partners	France	Carretera	Low	2671	3	12	32052	320.52	31731.48	8013	23718.48	0.01	0.01
43467	Channel Partners	Germany	Carretera	Low	766	3	12	9192	91.92	9100.08	2298	6802.08	0.01	0.01
43468	Small Business	Mexico	Carretera	Low	494	250	300	148200	1482	146718	123500	23218	0.01	0.01
43469	Government	Mexico	Carretera	Low	1397	260	350	488950	4889.5	484060.5	363220	120840.5	0.01	0.01
43470	Government	France	Carretera	Low	2155	260	350	754250	7542.5	746707.5	560300	186407.5	0.01	0.01
43471	Midmarket	Mexico	Montana	Low	2214	10	15	33210	332.1	32877.9	22140	10737.9	0.01	0.01
43472	Small Business	United States of America	Montana	Low	2301	250	300	690300	6903	683397	575250	108147	0.01	0.01
43473	Government	France	Montana	Low	1375.5	10	20	27510	275.1	27234.9	13755	13479.9	0.01	0.01
43474	Government	Canada	Montana	Low	1830	5	7	12810	128.1	12681.9	9150	3531.9	0.01	0.01
43475	Small Business	United States of America	Montana	Low	2498	250	300	749400	7494	741906	624500	117406	0.01	0.01
43476	Enterprise	United States of America	Montana	Low	663	120	125	82875	828.75	82046.25	79560	2486.25	0.01	0.01
43477	Midmarket	United States of America	Paseo	Low	1514	10	15	22710	227.1	22482.9	15140	7342.9	0.01	0.01
43478	Government	United States of America	Paseo	Low	4492.5	5	7	31447.5	314.475	31133.025	22462.5	8670.525	0.01	0.01
43479	Enterprise	United States of America	Paseo	Low	727	120	125	90875	908.75	89966.25	87240	2726.25	0.01	0.01
43480	Enterprise	France	Paseo	Low	787	120	125	98375	983.75	97391.25	94440	2951.25	0.01	0.01
43481	Enterprise	Mexico	Paseo	Low	1823	120	125	227875	2278.75	225596.25	218760	6836.25	0.01	0.01
43482	Midmarket	Germany	Paseo	Low	747	10	15	11205	112.05	11092.95	7470	3622.95	0.01	0.01
43483	Channel Partners	Germany	Paseo	Low	766	3	12	9192	91.92	9100.08	2298	6802.08	0.01	0.01
43484	Small Business	United States of America	Paseo	Low	2905	250	300	871500	8715	862785	726250	136535	0.01	0.01
43485	Government	France	Paseo	Low	2155	260	350	754250	7542.5	746707.5	560300	186407.5	0.01	0.01
43486	Government	France	Velo	Low	3864	10	20	77280	772.8	76507.2	38640	37867.2	0.01	0.01
43487	Government	Mexico	Velo	Low	362	5	7	2534	25.34	2508.66	1810	698.66	0.01	0.01
43488	Enterprise	Canada	Velo	Low	923	120	125	115375	1153.75	114221.25	110760	3461.25	0.01	0.01
43489	Enterprise	United States of America	Velo	Low	663	120	125	82875	828.75	82046.25	79560	2486.25	0.01	0.01
43490	Government	Canada	Velo	Low	2092	5	7	14644	146.44	14497.56	10460	4037.56	0.01	0.01
43491	Government	Germany	VTT	Low	263	5	7	1841	18.41	1822.59	1315	507.59	0.01	0.01
43492	Government	Canada	VTT	Low	943.5	260	350	330225	3302.25	326922.75	245310	81612.75	0.01	0.01
43493	Enterprise	United States of America	VTT	Low	727	120	125	90875	908.75	89966.25	87240	2726.25	0.01	0.01
43494	Enterprise	France	VTT	Low	787	120	125	98375	983.75	97391.25	94440	2951.25	0.01	0.01
43495	Small Business	Germany	VTT	Low	986	250	300	295800	2958	292842	246500	46342	0.01	0.01
43496	Small Business	Mexico	VTT	Low	494	250	300	148200	1482	146718	123500	23218	0.01	0.01
43497	Government	Mexico	VTT	Low	1397	260	350	488950	4889.5	484060.5	363220	120840.5	0.01	0.01
43498	Enterprise	France	VTT	Low	1744	120	125	218000	2180	215820	209280	6540	0.01	0.01
43499	Channel Partners	United States of America	Amarilla	Low	1989	3	12	23868	238.68	23629.32	5967	17662.32	0.01	0.01
43500	Midmarket	France	Amarilla	Low	321	10	15	4815	48.15	4766.85	3210	1556.85	0.01	0.01
43501	Enterprise	Canada	Carretera	Low	742.5	120	125	92812.5	1856.25	90956.25	89100	1856.25	0.02	0.02
43502	Channel Partners	Canada	Carretera	Low	1295	3	12	15540	310.8	15229.2	3885	11344.2	0.02	0.02
43503	Small Business	Germany	Carretera	Low	214	250	300	64200	1284	62916	53500	9416	0.02	0.02
43504	Government	France	Carretera	Low	2145	5	7	15015	300.3	14714.7	10725	3989.7	0.02	0.02
43505	Government	Canada	Carretera	Low	2852	260	350	998200	19964	978236	741520	236716	0.02	0.02
43506	Channel Partners	United States of America	Montana	Low	1142	3	12	13704	274.08	13429.92	3426	10003.92	0.02	0.02
43507	Government	United States of America	Montana	Low	1566	10	20	31320	626.4	30693.6	15660	15033.6	0.02	0.02
43508	Channel Partners	Mexico	Montana	Low	690	3	12	8280	165.6	8114.4	2070	6044.4	0.02	0.02
43509	Enterprise	Mexico	Montana	Low	1660	120	125	207500	4150	203350	199200	4150	0.02	0.02
43510	Midmarket	Canada	Paseo	Low	2363	10	15	35445	708.9	34736.1	23630	11106.1	0.02	0.02
43511	Small Business	France	Paseo	Low	918	250	300	275400	5508	269892	229500	40392	0.02	0.02
43512	Small Business	Germany	Paseo	Low	1728	250	300	518400	10368	508032	432000	76032	0.02	0.02
43513	Channel Partners	United States of America	Paseo	Low	1142	3	12	13704	274.08	13429.92	3426	10003.92	0.02	0.02
43514	Enterprise	Mexico	Paseo	Low	662	120	125	82750	1655	81095	79440	1655	0.02	0.02
43515	Channel Partners	Canada	Paseo	Low	1295	3	12	15540	310.8	15229.2	3885	11344.2	0.02	0.02
43516	Enterprise	Germany	Paseo	Low	809	120	125	101125	2022.5	99102.5	97080	2022.5	0.02	0.02
43517	Enterprise	Mexico	Paseo	Low	2145	120	125	268125	5362.5	262762.5	257400	5362.5	0.02	0.02
43518	Channel Partners	France	Paseo	Low	1785	3	12	21420	428.4	20991.6	5355	15636.6	0.02	0.02
43519	Small Business	Canada	Paseo	Low	1916	250	300	574800	11496	563304	479000	84304	0.02	0.02
43520	Government	Canada	Paseo	Low	2852	260	350	998200	19964	978236	741520	236716	0.02	0.02
43521	Enterprise	Canada	Paseo	Low	2729	120	125	341125	6822.5	334302.5	327480	6822.5	0.02	0.02
43522	Midmarket	United States of America	Paseo	Low	1925	10	15	28875	577.5	28297.5	19250	9047.5	0.02	0.02
43523	Government	United States of America	Paseo	Low	2013	5	7	14091	281.82	13809.18	10065	3744.18	0.02	0.02
43524	Channel Partners	France	Paseo	Low	1055	3	12	12660	253.2	12406.8	3165	9241.8	0.02	0.02
43525	Channel Partners	Mexico	Paseo	Low	1084	3	12	13008	260.16	12747.84	3252	9495.84	0.02	0.02
43526	Government	United States of America	Velo	Low	1566	10	20	31320	626.4	30693.6	15660	15033.6	0.02	0.02
43527	Government	Germany	Velo	Low	2966	260	350	1038100	20762	1017338	771160	246178	0.02	0.02
43528	Government	Germany	Velo	Low	2877	260	350	1006950	20139	986811	748020	238791	0.02	0.02
43529	Enterprise	Germany	Velo	Low	809	120	125	101125	2022.5	99102.5	97080	2022.5	0.02	0.02
43530	Enterprise	Mexico	Velo	Low	2145	120	125	268125	5362.5	262762.5	257400	5362.5	0.02	0.02
43531	Channel Partners	France	Velo	Low	1055	3	12	12660	253.2	12406.8	3165	9241.8	0.02	0.02
43532	Government	Mexico	Velo	Low	544	10	20	10880	217.6	10662.4	5440	5222.4	0.02	0.02
43533	Channel Partners	Mexico	Velo	Low	1084	3	12	13008	260.16	12747.84	3252	9495.84	0.02	0.02
43534	Enterprise	Mexico	VTT	Low	662	120	125	82750	1655	81095	79440	1655	0.02	0.02
43535	Small Business	Germany	VTT	Low	214	250	300	64200	1284	62916	53500	9416	0.02	0.02
43536	Government	Germany	VTT	Low	2877	260	350	1006950	20139	986811	748020	238791	0.02	0.02
43537	Enterprise	Canada	VTT	Low	2729	120	125	341125	6822.5	334302.5	327480	6822.5	0.02	0.02
43538	Government	United States of America	VTT	Low	266	260	350	93100	1862	91238	69160	22078	0.02	0.02
43539	Government	Mexico	VTT	Low	1940	260	350	679000	13580	665420	504400	161020	0.02	0.02
43540	Small Business	Germany	Amarilla	Low	259	250	300	77700	1554	76146	64750	11396	0.02	0.02
43541	Small Business	Mexico	Amarilla	Low	1101	250	300	330300	6606	323694	275250	48444	0.02	0.02
43542	Enterprise	Germany	Amarilla	Low	2276	120	125	284500	5690	278810	273120	5690	0.02	0.02
43543	Government	Germany	Amarilla	Low	2966	260	350	1038100	20762	1017338	771160	246178	0.02	0.02
43544	Government	United States of America	Amarilla	Low	1236	10	20	24720	494.4	24225.6	12360	11865.6	0.02	0.02
43545	Government	France	Amarilla	Low	941	10	20	18820	376.4	18443.6	9410	9033.6	0.02	0.02
43546	Small Business	Canada	Amarilla	Low	1916	250	300	574800	11496	563304	479000	84304	0.02	0.02
43547	Enterprise	France	Carretera	Low	4243.5	120	125	530437.5	15913.125	514524.375	509220	5304.375	0.03	0.02
43548	Government	Germany	Carretera	Low	2580	10	20	51600	1548	50052	25800	24252	0.03	0.02
43549	Small Business	Germany	Carretera	Low	689	250	300	206700	6201	200499	172250	28249	0.03	0.02
43550	Channel Partners	United States of America	Carretera	Low	1947	3	12	23364	700.92	22663.08	5841	16822.08	0.03	0.02
43551	Channel Partners	Canada	Carretera	Low	908	3	12	10896	326.88	10569.12	2724	7845.12	0.03	0.02
43552	Government	Germany	Montana	Low	1958	5	7	13706	411.18	13294.82	9790	3504.82	0.03	0.02
43553	Channel Partners	France	Montana	Low	1901	3	12	22812	684.36	22127.64	5703	16424.64	0.03	0.02
43554	Government	France	Montana	Low	544	5	7	3808	114.24	3693.76	2720	973.76	0.03	0.02
43555	Government	Germany	Montana	Low	1797	260	350	628950	18868.5	610081.5	467220	142861.5	0.03	0.02
43556	Enterprise	France	Montana	Low	1287	120	125	160875	4826.25	156048.75	154440	1608.75	0.03	0.02
43557	Enterprise	Germany	Montana	Low	1706	120	125	213250	6397.5	206852.5	204720	2132.5	0.03	0.02
43558	Small Business	France	Paseo	Low	2434.5	250	300	730350	21910.5	708439.5	608625	99814.5	0.03	0.02
43559	Enterprise	Canada	Paseo	Low	1774	120	125	221750	6652.5	215097.5	212880	2217.5	0.03	0.02
43560	Channel Partners	France	Paseo	Low	1901	3	12	22812	684.36	22127.64	5703	16424.64	0.03	0.02
43561	Small Business	Germany	Paseo	Low	689	250	300	206700	6201	200499	172250	28249	0.03	0.02
43562	Enterprise	Germany	Paseo	Low	1570	120	125	196250	5887.5	190362.5	188400	1962.5	0.03	0.02
43563	Channel Partners	United States of America	Paseo	Low	1369.5	3	12	16434	493.02	15940.98	4108.5	11832.48	0.03	0.02
43564	Enterprise	Canada	Paseo	Low	2009	120	125	251125	7533.75	243591.25	241080	2511.25	0.03	0.02
43565	Midmarket	Germany	Paseo	Low	1945	10	15	29175	875.25	28299.75	19450	8849.75	0.03	0.02
43566	Enterprise	France	Paseo	Low	1287	120	125	160875	4826.25	156048.75	154440	1608.75	0.03	0.02
43567	Enterprise	Germany	Paseo	Low	1706	120	125	213250	6397.5	206852.5	204720	2132.5	0.03	0.02
43568	Enterprise	Canada	Velo	Low	2009	120	125	251125	7533.75	243591.25	241080	2511.25	0.03	0.02
43569	Small Business	United States of America	VTT	Low	2844	250	300	853200	25596	827604	711000	116604	0.03	0.02
43570	Channel Partners	Mexico	VTT	Low	1916	3	12	22992	689.76	22302.24	5748	16554.24	0.03	0.02
43571	Enterprise	Germany	VTT	Low	1570	120	125	196250	5887.5	190362.5	188400	1962.5	0.03	0.02
43572	Small Business	Canada	VTT	Low	1874	250	300	562200	16866	545334	468500	76834	0.03	0.02
43573	Government	Mexico	VTT	Low	1642	260	350	574700	17241	557459	426920	130539	0.03	0.02
43574	Midmarket	Germany	VTT	Low	1945	10	15	29175	875.25	28299.75	19450	8849.75	0.03	0.02
43575	Government	Canada	Carretera	Low	831	10	20	16620	498.6	16121.4	8310	7811.4	0.03	0.02
43576	Government	Mexico	Paseo	Low	1760	5	7	12320	369.6	11950.4	8800	3150.4	0.03	0.02
43577	Government	Canada	Velo	Low	3850.5	10	20	77010	2310.3	74699.7	38505	36194.7	0.03	0.02
43578	Channel Partners	Germany	VTT	Low	2479	3	12	29748	892.44	28855.56	7437	21418.56	0.03	0.02
43579	Midmarket	Mexico	Montana	Low	2031	10	15	30465	1218.6	29246.4	20310	8936.4	0.04	0.02
43580	Midmarket	Mexico	Paseo	Low	2031	10	15	30465	1218.6	29246.4	20310	8936.4	0.04	0.02
43581	Midmarket	France	Paseo	Low	2261	10	15	33915	1356.6	32558.4	22610	9948.4	0.04	0.02
43582	Government	United States of America	Velo	Low	736	10	20	14720	588.8	14131.2	7360	6771.2	0.04	0.02
43583	Government	Canada	Carretera	Low	2851	5	7	19957	798.28	19158.72	14255	4903.72	0.04	0.02
43584	Small Business	Germany	Carretera	Low	2021	250	300	606300	24252	582048	505250	76798	0.04	0.02
43585	Government	United States of America	Carretera	Low	274	260	350	95900	3836	92064	71240	20824	0.04	0.02
43586	Midmarket	Canada	Montana	Low	1967	10	15	29505	1180.2	28324.8	19670	8654.8	0.04	0.02
43587	Small Business	Germany	Montana	Low	1859	250	300	557700	22308	535392	464750	70642	0.04	0.02
43588	Government	Canada	Montana	Low	2851	5	7	19957	798.28	19158.72	14255	4903.72	0.04	0.02
43589	Small Business	Germany	Montana	Low	2021	250	300	606300	24252	582048	505250	76798	0.04	0.02
43590	Enterprise	Mexico	Montana	Low	1138	120	125	142250	5690	136560	136560	0	0.04	0.02
43591	Government	Canada	Paseo	Low	4251	5	7	29757	1190.28	28566.72	21255	7311.72	0.04	0.02
43592	Enterprise	Germany	Paseo	Low	795	120	125	99375	3975	95400	95400	0	0.04	0.02
43593	Small Business	Germany	Paseo	Low	1414.5	250	300	424350	16974	407376	353625	53751	0.04	0.02
43594	Small Business	United States of America	Paseo	Low	2918	250	300	875400	35016	840384	729500	110884	0.04	0.02
43595	Government	United States of America	Paseo	Low	3450	260	350	1207500	48300	1159200	897000	262200	0.04	0.02
43596	Enterprise	France	Paseo	Low	2988	120	125	373500	14940	358560	358560	0	0.04	0.02
43597	Midmarket	Canada	Paseo	Low	218	10	15	3270	130.8	3139.2	2180	959.2	0.04	0.02
43598	Government	Canada	Paseo	Low	2074	10	20	41480	1659.2	39820.8	20740	19080.8	0.04	0.02
43599	Government	United States of America	Paseo	Low	1056	10	20	21120	844.8	20275.2	10560	9715.2	0.04	0.02
43600	Midmarket	United States of America	Paseo	Low	671	10	15	10065	402.6	9662.4	6710	2952.4	0.04	0.02
43601	Midmarket	Mexico	Paseo	Low	1514	10	15	22710	908.4	21801.6	15140	6661.6	0.04	0.02
43602	Government	United States of America	Paseo	Low	274	260	350	95900	3836	92064	71240	20824	0.04	0.02
43603	Enterprise	Mexico	Paseo	Low	1138	120	125	142250	5690	136560	136560	0	0.04	0.02
43604	Channel Partners	United States of America	Velo	Low	1465	3	12	17580	703.2	16876.8	4395	12481.8	0.04	0.02
43605	Government	Canada	Velo	Low	2646	10	20	52920	2116.8	50803.2	26460	24343.2	0.04	0.02
43606	Government	France	Velo	Low	2177	260	350	761950	30478	731472	566020	165452	0.04	0.02
43607	Channel Partners	France	VTT	Low	866	3	12	10392	415.68	9976.32	2598	7378.32	0.04	0.02
43608	Government	United States of America	VTT	Low	349	260	350	122150	4886	117264	90740	26524	0.04	0.02
43609	Government	France	VTT	Low	2177	260	350	761950	30478	731472	566020	165452	0.04	0.02
43610	Midmarket	Mexico	VTT	Low	1514	10	15	22710	908.4	21801.6	15140	6661.6	0.04	0.02
43611	Government	Mexico	Amarilla	Low	1865	260	350	652750	26110	626640	484900	141740	0.04	0.02
43612	Enterprise	Mexico	Amarilla	Low	1074	120	125	134250	5370	128880	128880	0	0.04	0.02
43613	Government	Germany	Amarilla	Low	1907	260	350	667450	26698	640752	495820	144932	0.04	0.02
43614	Midmarket	United States of America	Amarilla	Low	671	10	15	10065	402.6	9662.4	6710	2952.4	0.04	0.02
43615	Government	Canada	Amarilla	Low	1778	260	350	622300	24892	597408	462280	135128	0.04	0.02
43616	Small Business	France	VTT	Low	997	5	7	6979	139.58	6839.42	4985	1854.42	0.02	0.02
43617	Enterprise	Germany	Carretera	Low	954	3	12	11448	228.96	11219.04	2862	8357.04	0.02	0.02
43618	Government	Mexico	Carretera	Low	975	260	350	341250	6825	334425	253500	80925	0.02	0.02
43619	Government	Mexico	Carretera	Low	908	3	12	10896	217.92	10678.08	2724	7954.08	0.02	0.02
43620	Small Business	United States of America	Carretera	Low	789	250	300	236700	4734	231966	197250	34716	0.02	0.02
43621	Channel Partners	Canada	Carretera	Low	876	260	350	306600	6132	300468	227760	72708	0.02	0.02
43622	Small Business	France	Carretera	Low	689	260	350	241150	4823	236327	179140	57187	0.02	0.02
43623	Enterprise	Germany	Montana	Low	988	10	15	14820	296.4	14523.6	9880	4643.6	0.02	0.02
43624	Enterprise	Germany	Montana	Low	908	120	125	113500	2270	111230	108960	2270	0.02	0.02
43625	Government	Mexico	Paseo	Low	973	10	15	14595	291.9	14303.1	9730	4573.1	0.02	0.02
43626	Small Business	United States of America	Paseo	Low	909	3	12	10908	218.16	10689.84	2727	7962.84	0.02	0.02
43627	Channel Partners	Canada	Paseo	Low	789	250	300	236700	4734	231966	197250	34716	0.02	0.02
43628	Enterprise	Germany	Velo	Low	876	10	20	17520	350.4	17169.6	8760	8409.6	0.02	0.02
